PicklesName,SpecType,Teff,g-g,g-r,i-i,i-z,logg,r-i,r-r,u-g,u-u,z-z
,,26000.0,0.0,-0.4561264987835827,0.0,-0.331406481922194,7.0,-0.3483847496857493,0.0,-0.16059809684924176,0.0,0.0
,,34000.0,0.0,-0.49123385010621234,0.0,-0.35321425717111765,8.25,-0.36859316358999905,0.0,-0.3731767838568132,0.0,0.0
,,18750.0,0.0,-0.3661259077741619,0.0,-0.30384104362626374,7.5,-0.3062411177357518,0.0,0.08336384149777132,0.0,0.0
,,23000.0,0.0,-0.43568803397807443,0.0,-0.3164857243774719,6.5,-0.33489312743358113,0.0,-0.05446301748889226,0.0,0.0
,,15750.0,0.0,-0.3165543082318578,0.0,-0.2877756412686665,7.5,-0.28190022174580776,0.0,0.24854689054513557,0.0,0.0
,,12000.0,0.0,-0.258693613100597,0.0,-0.24490847247898984,6.5,-0.2432760914853418,0.0,0.6165092287410161,0.0,0.0
,,11250.0,0.0,-0.1658638519325777,0.0,-0.2402801470981828,7.5,-0.20296705696380002,0.0,0.47902874160887166,0.0,0.0
,,30000.0,0.0,-0.45524875780836993,0.0,-0.3499647324397799,9.0,-0.35377305989752017,0.0,-0.33572833834806914,0.0,0.0
,,5000.0,0.0,0.6642610123279411,0.0,0.11946564432906115,7.5,0.25762842044400003,0.0,1.503268869397651,0.0,0.0
,,15500.0,0.0,-0.2512914352048199,0.0,-0.2908685530298598,8.75,-0.2599769044160922,0.0,0.13178174927397635,0.0,0.0
,,9000.0,0.0,0.0024155152511653455,0.0,-0.13769333136499284,9.25,-0.07077423602767396,0.0,0.24373384316334779,0.0,0.0
,,25000.0,0.0,-0.4325798108467964,0.0,-0.3313044045290141,7.75,-0.3405451533906074,0.0,-0.15710295298131882,0.0,0.0
,,28000.0,0.0,-0.4414621376298413,0.0,-0.34505280838078534,8.75,-0.3482404445517133,0.0,-0.28094430448379626,0.0,0.0
,,6000.0,0.0,0.37434486066451456,0.0,0.02224510639923949,7.25,0.12202918712368671,0.0,0.7526333258160136,0.0,0.0
,,9500.0,0.0,-0.026598618053689904,0.0,-0.15775808965063476,9.25,-0.09125667430880213,0.0,0.22280190984405124,0.0,0.0
,,11000.0,0.0,-0.21212618672473837,0.0,-0.22880897373192255,6.5,-0.2184608945593567,0.0,0.6881450310534376,0.0,0.0
,,11750.0,0.0,-0.23616827551462904,0.0,-0.24377525009713708,6.75,-0.23419959489285702,0.0,0.611369390185942,0.0,0.0
,,15250.0,0.0,-0.3322801663860986,0.0,-0.27737414294280427,6.75,-0.2828400273497067,0.0,0.3255727921719398,0.0,0.0
,,17750.0,0.0,-0.3343973512626164,0.0,-0.3024653338131813,8.0,-0.29488827411277185,0.0,0.1017164302508462,0.0,0.0
,,70000.0,0.0,-0.5497457073984364,0.0,-0.3631093938623309,7.5,-0.3920680511904706,0.0,-0.4923853529357629,0.0,0.0
,,20000.0,0.0,-0.32436354909860654,0.0,-0.3190773309637436,9.25,-0.2972602094272432,0.0,-0.08941465992566577,0.0,0.0
,,11750.0,0.0,-0.20496860296705677,0.0,-0.247108573095133,7.25,-0.22312775018188802,0.0,0.5292577334642701,0.0,0.0
,,23000.0,0.0,-0.3919570899768843,0.0,-0.32744994080722734,8.5,-0.32512393998204914,0.0,-0.13403640743970158,0.0,0.0
,,21000.0,0.0,-0.41559262647728445,0.0,-0.307445452192205,6.5,-0.32432817948767934,0.0,0.02015565254134799,0.0,0.0
