Teff,g_s-g_s,g_s-r_s,i_s-i_s,i_s-z_s,logg,r_s-i_s,r_s-r_s,u_s-g_s,u_s-u_s,z_s-z_s
14750.0,0.004667167972925768,-0.3217370912728228,0.0017023741669461856,-0.2621613187442051,6.75,-0.3081849937317145,-0.01494511782386354,0.3391820342706424,-0.02901868057488599,0.01270569322902304
16250.0,0.004802113328800317,-0.3329544346011559,0.0017736043247538191,-0.277633479505937,7.25,-0.32001839590894576,-0.015690121594680306,0.23469785649193398,-0.007989652077938558,0.009197822642448727
20000.0,0.00546896798203278,-0.3555000117440841,0.0019317993254830412,-0.30361150025893124,8.25,-0.3431201299895221,-0.017269959425284753,0.01658013551009674,0.01449845691391971,0.003422757989795855
15000.0,0.004923248148614334,-0.33282879627535067,0.0017175402332867407,-0.2604502224744749,6.5,-0.31211266050357267,-0.01495216349609052,0.32229011558217024,-0.03628640864815935,0.013009750207636728
16250.0,0.005280078614134709,-0.35225429524921736,0.0017741578349017573,-0.2690811301410605,6.5,-0.32345477849262494,-0.015398083764360138,0.24323028415492587,-0.027888188280407178,0.011104436402717965
16500.0,0.005170579920466878,-0.24353946342188948,0.0017551546545107044,-0.2886655875443722,9.5,-0.2878137804633738,-0.01681225287667587,0.020216210062592666,0.013308381563589933,0.004601620696092823
16500.0,0.004495197686829044,-0.288381735051054,0.0018030514815166043,-0.2890939016648417,8.5,-0.3107359345961598,-0.016591640813786057,0.14659703845495642,0.009470646515723047,0.005879793993585736
6250.0,-0.0069668748726243734,0.3071397011657453,-0.0003987906372771022,-0.002870647246290048,7.75,0.09947849053861546,0.006782710118166335,0.5749957031994839,-0.05821375164130416,0.05331329992392142
6000.0,-0.00912458246649095,0.3688024935103016,-0.0005190988048582312,0.009862503360167807,9.25,0.12786091753434903,0.008252118213938786,0.7913193058523689,-0.08952053462466125,0.05442576314732861
18500.0,0.005093099422680325,-0.32480664726214314,0.0018839864299806663,-0.29888847964222975,8.5,-0.32946881153191754,-0.017095490100302868,0.05967892549318066,0.013471837728353364,0.004152588487521314
